縣市,選區,姓名,在任狀態,政黨,政見,備註
台北,一,吳思瑤,1,民主進步黨,1、北投天母宜居社區 改善天母交通，拒絕大型開發，保存綠地與文化資產。 爭取復興崗國防大學校地釋出，中央地方協力規劃「社會 住宅+長照基地+智慧型社福研發中心+綠地公園+國防」五 合一生態社區。 加速推動士北科技園區，打造生技、資通訊產業科技城。 停建北纜，保存生態文史，結合溫泉觀光醫療，規劃北投 生活環境博物園區。 2、世代正義 推動年金改革，健全財政紀律。 推動社會住宅，減輕購屋負擔。 媒合青年創／就業資源，擴大輔導補助，改善勞動條件， 提升薪資水平。 推動稅制改革，縮小貧富差距，調漲基本工資，提高企業 納稅責任。 推動憲改，降低投票年齡至十八歲。 拒絕黑箱課綱，教育不受政治干預。 3、社會安全 強化食安監理，落實生產管理、查驗。 推動「托育、長照、就業」三合一政策。 托育服務社區／平價／優質化。推動留職育嬰、育嬰彈性 工時。 建立永續長照，推動社區型整合服務中心，結合在宅服 務、居家醫護、餐食服務、樂齡學堂，落實在地安老。 性別平等職場，提高婦女就業安全與薪資水平。 4、進步國家 開放政府，推廣柯P經驗，優化公民參與、資訊公開制度。 還權於民，修訂公投法、選罷法，降低公投門檻及罷免限 制。 環境正義，推動產業升級，發展綠能產業，提高環境汙染 稅，落實非核家園。 司法改革，落實民主／專業／透明化司法體系。 國會改革，拒絕密室協商，落實國會專業資深制。 追討黨產，政黨不當得利還財於民。 堅守台灣主體性，穩定兩岸和平發展，嚴格監督各項兩岸 合作協議。,
台北,二,姚文智,0,民主進步黨,「點亮台灣」：完成台灣史上首次國會政黨輪替，深化民主；支持、協助並督促新政府推動「英派革新，台灣好政」，以廉能效率、自由創新，帶動經濟社 會轉型。務使國民黨還財於民，實踐轉型正義；推動各項稅制、年金改革，履行階級與世代分配正義，健全國家財政；廣建社會住宅，落實居住正義；補正 鳥籠公投，開放國會改革與民主參與；檢討十二年國教，催生食農教育、食品安全、食物回收等食安三法，續推老年長照制度，促進醫療勞動正義與病人安 全；堅決廢核，發展綠色再生能源，實現2025非核家園目標；振興本土國防產業，提升防衛能力；兩岸協議監督法制化，公開透明，杜絕黑箱，確保台灣主 權與安全，守護台灣利益與價值。 「翻轉台北」：繼續推動以空間改革驅動城市發展的「河右岸復興運動」，與柯p合作啟動社子島開發，並以2020年「遷松機變公園」為目標，輔以大規模 公辦都更（即都市再生），暨「文化輕軌線」串聯帶動淡水河右岸大稻埕、大龍峒、葫蘆堵、社子、後港、士林老城區再生，重現薈萃人文與商業繁華；反 對「大故宮計畫」，維護芝山岩、雙溪宜居環境，進而擘劃士林商圈、故宮、陽明山在內的「台灣櫥窗」展現國際、生態、人文、樂活精神；尤其，應在推 動都市再造時，同步實現托育、托老、食農、宜居、綠能及智慧城市的多重願景與目標。,2018/11/18辭職
台北,二,何志偉,2,民主進步黨,【拼！新經濟，好生活】四大政策主軸： 一、水經濟，親水零距離，河岸大公園。 　　市中心有大安森林公園、大佳河濱公園，但士林大同平均每人享有公園綠地面積卻是北市 後段班。士林大同兩河匯聚，應整合豐富河岸觀光資源，爭取補助串連河岸綠地及文化資 產，打造特色河岸公園，成為國際亮點。以過去成功扶植臺灣盃國際滑水賽事之經驗，推 廣多元水上活動，結合三腳渡木造龍舟工藝，傳承在地文化財。 二、老社區新經濟，重現新風貌，打造好生活。 　　擴大創業園區，提供更好更完整的創業服務，扶植優質新創事業，提供士林大同就業機會 及注入經濟活水，以增加青年在地就業之機會，提升薪資水平，重現大稻埕及士林繁榮。 爭取核准捷運社子線計畫，修法補助公共運具票價，降低上班族負擔，提升空氣品質。 三、長照經濟示範區。 　　落實長照托老服務，讓長者有尊嚴，也降低家人負擔。爭取中央補助擴大敬老卡使用項 目，讓敬老卡更好用、銀髮族更樂活。 四、廟口經濟，文化經濟。 　　活用本區文化底蘊，利用文化設計及導入科技，推廣廟口小吃及工藝，提升庶民經濟產 值。,缺額補選
台北,三,蔣萬安,1,中國國民黨,一、立委要傾聽民意，推動立法解決問題。萬安會秉持理性問政、創新立法 理念，為民眾服務。 二、推動「幼兒照護」：提高生育率，也要設法減輕父母養育負擔；建全托 育機制與社區保姆系統，讓父母放心打拼；加強校園安全，讓孩子在安 全環境學習；持續監督、要求幼兒園師資、課程及設備達到法定標準， 讓孩子快樂學習、適性發展以及健康成長。 三、推動「銀髮族照護」：建立「社區化」、「在地化」長照目標；立法確 立長照保險穩定財源；督促政府建構完整銀髮族照護與醫療制度；鼓勵 社會企業加入照護長輩行列；針對「退而不休」銀髮族規劃社會參與活 動，讓退休生活有目標、有尊嚴。 四、連結「教育與就業」：重新檢討臺灣高教政策的走向與定位；強化技職 教育，鼓勵企業提供學生實習機會及產學合作；縮短學用落差、建構教 育與就業銜接機制，讓青年畢業即就業。青年適才適所、發揮所長，臺 灣才有競爭力。 五、連結「科技與創業」：鬆綁法規限制，吸引國外資金投資國內產業；建 構新創產業生態鏈，讓臺灣新創公司根留本土，佈局全球，使全民共享 經濟成長果實；掌握未來發展趨勢，推動程式語言向下紮根，讓孩子學 習程式語言，培養臺灣軟體人才。 六、解決在地「治安問題」：中山、松山區都有犯罪熱點，需中央、地方共 同解決。萬安將協助並結合議員、里長及社區巡守隊力量，配合警力建 立共同防護網，保障民眾安全；持續透過教育宣導、舉辦社區活動等方 式，結合家庭與學校力量防止犯罪，守護家園。 七、積極解決「停車問題」：中山、松山區停車位不足情況，分占北市12行 政區中第1名、第3名。萬安會積極協助議員並與市府合作，共同改善停 車位供需失衡情況，解決民眾停車位不足問題。,
台北,四,李彥秀,1,中國國民黨,　用心陪你走 大手牽小手 1.強化公托、臨托制度。 2.編制儲備教師，成立安親系統，活化校園閒置 空間。 3.推動分齡性向輔導機制，擺脫制式教育。 4.督促建置輔導人力預防校園霸凌。 5.重視食安管理，對黑心業者罰得到、快、重。 6.推動「5安幸福在台灣｣照顧新住民。 　　　　用心啟動未來，打破低薪魔咒 1.健全十二年國教制度，技職教育科系專業化、 實習生納入勞基法保障。 2.改善新鮮人求職環境，增設免費職訓課程。 3.調降租屋補助門檻、增設青年出租公營住宅。 4.興建青年住宅並設托育中心。 5.推動微型創業，建立創業導師制。 　　　　用心訂製幸福：長期照護、單親扶助 1.確保長期照護保險法通過，建立穩定財源。 2.建立長期照護銀行，提供社區照護服務。 3.中低收入戶審查精緻化避免一刀式區分。 4.推動年金改革。 5.建立急難扶助據點。 6.協助單親家庭養育、教育困境。 　　　　用心呵護 看見港湖新未來 1.加速老舊工業住宅都更，推動都市再造。 2.兵工廠、聯勤司令部遷移，拓展南港腹地。 3.加速電纜、電塔地下化。 4.規劃內湖焚化廠改建為青年住宅。 5.結合民間資源保存古蹟。 　　　　用心成就港湖，園區回饋鄰里 1.推動內湖科技園區、南港軟體園區提撥補助金 回饋地方。 2.尋求策略型產業，提升國際競爭力，強調企業 社會責任。 3.勞資團體協商制度化，保障勞工權益。 　　　　用心打造 南港東區新門戶，內湖科技智 慧城 1.力拚民生汐止線106年動工。 2.捷運南北線重新啟動。 3.興建信義線東延至研究院路二段。 4.加速高鐵南港站通車，台鐵南港站升級。 5.通盤檢討松山機場存廢。,
台北,五,林昶佐,1,時代力量,一、蔡英文中正萬華唯一支持林昶佐，團結進步力量，促成國會改革。 二、捍衛台灣主權，強化國際地位，堅持台灣與中國對等往來。 三、全力推動進度落後的捷運萬大線，帶動人潮流動，繁榮地方發展。 四、強化食品安全認證機制，嚴格查驗非法原料，嚴懲黑心食品廠商，讓消費者吃得安心。 五、推動智慧節能電網，鼓勵綠色能源，讓台灣成為永續發展的非核家園。 六、下修公投法與選罷法門檻，落實直接民權，讓人民對政府不當政策與劣質政客有說不的權利。 七、制定《政黨不當取得財產處理條例》，追討政黨不當財產，杜絕貪污腐敗。 八、強化台灣青年力，投票年齡下修十八歲與世界接軌，創造青年創業友善環境，讓年輕人勇敢逐夢。 九、規劃短、中、長期社區長照政策以及促進長照相關產業發展，讓銀髮族安心樂活。 十、支持穩健的稅制改革，縮小貧富差距，打造公平正義的社會。 十一、修正《都更法》，加速推動保障住戶權益的都市更新，落實在地精神。 十二、活化閒置國有地，提供地方公共使用。,
台北,六,蔣乃辛,1,中國國民黨,乃辛的父親是民意代表，從小看到父親無私無我的服務民眾對乃辛影響深 遠，從乃辛選擇參選民意代表那一天起，「服務社會，回饋國家」就深烙心 中。乃辛時常提醒自己站在民眾角度思考，無論是監督政府、問政質詢、幫 地方鄰里爭取建設或替民眾解決問題，時刻都要設身處地，以民意為最重要 考量。在本屆會期中，乃辛最關心民生法案，包括食品安全、企業加薪、勞 動權益、貧富差距以及提升青年競爭力與各階段教育改革相關政策，不僅向 行政部門提出質詢，同步也提出法律修正或制定案，多管齊下監督政府。 365天全勤服務地方，全勤監督問政，本屆會期乃辛也獲得諸多民間評鑑單 位評選為國會第1名專業優質立委。但是落實民生等法案政策非一蹴可幾， 國會改革仍需持續進行，乃辛爭取連任就是要以『堅持』的力量繼續在國會 替地方服務、替民眾表達心聲。 乃辛主張： 一、實踐社會正義，遏止貧富差距持續惡化。 二、落實社會福利，擴大弱勢照顧。 三、產官學研合作，全面提升青年競爭力，落實青年政策。 四、持續推動稅制改革，監督國家財務管理策略，逐年減輕國債負擔。 五、增加教育經費，強化人才競爭力。 六、持續檢討修正12年國教政策，減輕學生升學壓力，落實適性揚才。 七、因應高齡化社會來臨，持續擴充高齡友善環境與服務，讓高齡長者有所 依靠。 八、建立友善工作環境，監督勞工權益保障與落實。 九、面臨少子化危機，增加生育養育補助津貼等各種方案，提高國人生育意 願。 十、持續提出產業創新加值與升級發展計畫，增加就業率，提高企業加薪機 會。,
台北,七,費鴻泰,1,中國國民黨,1.推動青年創業的優惠融資，以及輔導青年就業等措施。 2.建立合理的薪資與工時制度。 3.建構完善長照體系，邁向健康、安全、幸福的高齡社會。 4.推動食品安全聯合稽查，與食品安全監測，維護國人飲食安全。 5.推動全面性住宅政策，含租金補貼及社會住宅，落實居住正義。 6.推動對身心障礙者的全面性照顧服務，保障其權益。 7.消除各種歧視婦女的限制，建立性別平等的友善社會。 8.推動民間擴大參與公共建設，增加就業機會。 9.推動資訊基本法，建構中央與地方便民服務單一窗口。 10.推動完備防疫體系，強化傳染病預警與風險管控機制。 11.推動積極性社會救助措施，結合企業與民間力量，落實對各個弱勢族群與家庭的照護。 12.推動醫療糾紛處理及醫療事故補償制度，強化醫療照護品質。,
台北,八,賴士葆,1,中國國民黨,1.在九二共識、一中各表的基礎下，推動兩岸和平發展 2.推動內閣制、恢復閣揆同意權 3.推動國會攺革：朝野協商透明化，提升立法效率、國會議長中立化 4.成立兩岸協議監督特種委員會 5.積極推動加入國際組織，先TPP後RCEP 6.爭取勞工福祉，推動提高基本工資，放寬勞保投保上限 7.推動金融3.0（FINTECH），如網路銀行、第三方支付、全面提升金融競爭力 8.健全國際策略投資，推動成立國家主權基金 9.確保學生就學權利，如學貸延長五年還款，催生學生家長代表三分之一，參與教育政策決策 10.持續加速推動捷運南環線 11.推動智慧食安新紀元，如食安雲 12.優化青年創業環境，推動天使基金規模提升至百億元 13.推動長照保險法 14.堅決反對廢死，反對廢刑法第227條 15.推動住院醫師工作權益納入勞基法,
新北,一,呂 孫 綾,1,民主進步黨,本選區位於新北市外圈廊帶，有文化古鎮、自然景緻，也有多個新市鎮與現代 開發計畫，要有新思維與新價值協助整個地區均衡發展；同時也必須回應世代 進步，配合民進黨國會改革，讓好立委帶動地方發展，扭轉社會困境，因此提出 三四五六計畫： （三大保證） １. 保證透明監督：國會工作日誌，上網公開透明。 ２. 保證擴大參與：定期舉辦對談，啟動公民參與。 ３. 保證利益迴避：拒絕請託關說，不包工程反貪汙。 （四大承諾） １. 承諾政治過程不黑箱：拒絕密室協商，全面公開透明。 ２. 承諾參政紀錄全公開：影音文字全紀錄，全面監督零遺漏。 ３. 承諾國會聽證不打折：改革聽證制度，健全民主運作。 ４. 承諾議事資訊全透明：議事公開轉播，黑色畫面零容忍。 （五安台灣） 公共安全：訂定國土保育計畫，推動災防五法，落實公民參與。 食品安全：推動公益揭露，重設驗證標章，落實抽檢制度。 居住安全：廣建青年住宅，公辦都市更新，實現居住正義。 核能安全：發展區域電網，嚴管核廢放置，監督核電除役。 婦幼安心：落實公托制度，完善社福功能，實踐社區長照。 （六級產業、六區升級） 宜居淡水：發展在地文創，監督大橋進度，落實輕軌完工。 進步八里：銜接海空雙港，提升觀光品質，開發在地經濟。 活化三芝：創意農產加工，爭取芝投公路，發展深度旅遊。 創新泰山：輔導工廠轉型，落實汙染防治，共築研發基地。 樂活石門：推動精緻漁業，監督核電除役，確保核安權益。 新生林口：強化公共建設，發展物流中心，打造創新重鎮。,
